"Periodo","Cantidad","Pt"
0,0,40
0,0,40
1,5,40
1,5,23.3
2,0.8,23.3
2,0.8,37.2
3,4.3,37.2
3,4.3,25.6
4,1.4,25.6
4,1.4,35.3
5,3.8,35.3
5,3.8,27.3
6,1.8,27.3
6,1.8,34
7,3.5,34
7,3.5,28.4
8,2.1,28.4
8,2.1,33
9,3.3,33
9,3.3,29.1
10,2.3,29.1
10,2.3,32.4
11,3.1,32.4
11,3.1,29.7
12,2.4,29.7
12,2.4,31.9
13,3,31.9
13,3,30.1
14,2.5,30.1
14,2.5,31.6
15,2.9,31.6
15,2.9,30.3
16,2.6,30.3
16,2.6,31.4
17,2.9,31.4
17,2.9,30.5
18,2.6,30.5
18,2.6,31.3
19,2.8,31.3
19,2.8,30.6
20,2.7,30.6
20,2.7,31.1
21,2.8,31.1
21,2.8,30.7
22,2.7,30.7
22,2.7,31.1
23,2.8,31.1
23,2.8,30.8
24,2.7,30.8
24,2.7,31
25,2.8,31
25,2.8,30.8
26,2.7,30.8
26,2.7,31
27,2.7,31
27,2.7,30.8
28,2.7,30.8
28,2.7,31
29,2.7,31
29,2.7,30.9
30,2.7,30.9
30,2.7,30.9
31,2.7,30.9
31,2.7,30.9
32,2.7,30.9
32,2.7,30.9
33,2.7,30.9
33,2.7,30.9
34,2.7,30.9
34,2.7,30.9
35,2.7,30.9
35,2.7,30.9
